name,brand,vintage,varietal_label,wine_type,appellation,designation,rating,review,reviewer,retail,state,slug,pub_date_web,alcohol,country
Windstream 2019 Sarmento Vineyard Pinot Noir (Santa Lucia Highlands),Windstream,2019,Pinot Noir,Red,Santa Lucia Highlands,Sarmento Vineyard,92,"Cranberry and dark cherry aromas meet with charred wood, hibiscus and strawberry sorbet on the nose of this bottling. It's brisk on the palate, where the cranberry core meets with gravelly minerality, dried hibiscus, a hint of rust and a caramel finish. Strong acidity balances the relatively high alcohol.",M.K.,40,California,windstream-2019-sarmento-vineyard-pinot-noir-santa-lucia-highlands,2020-12-01,0.1510,USA
Willamette Valley Vineyards 2019 Whole Cluster Pinot Noir (Willamette Valley),Willamette Valley Vineyards,2019,Pinot Noir,Red,Willamette Valley,Whole Cluster,91,"The winery consistently hits a home run with this young, bright and delicious wine. It's a perfect light red for picnics or garden parties, with effusive plum and cherry fruit lightly touched with milk chocolate.",P.G.,24,Oregon,willamette-valley-vineyards-2019-whole-cluster-pinot-noir-willamette-valley,2020-10-01,0.1350,USA
Westmount 2019 Pinot Noir (Willamette Valley),Westmount,2019,Pinot Noir,Red,Willamette Valley,,90,"With the sure hand of veteran Laurent Montalieu helming this value brand, the overall quality and balance is excellent. This textured and detailed wine has an interesting fruit-herb mix of wild red berries, lemon verbena, some bitter herbs and good, grippy tannins. Another year in the bottle should help to smooth any remaining rough edges.",P.G.,25,Oregon,westmount-2019-pinot-noir-willamette-valley,2020-12-01,0.1360,USA
Weibel Family 2019 Archgate Reserve Bottling Pinot Noir (North Coast),Weibel Family,2019,Pinot Noir,Red,North Coast,Archgate Reserve Bottling,84,"Despite its low alcohol, this wine feels a bit heavy on the palate and offers plum and prune flavors accented by a hint of wood smoke.",J.G.,14,California,weibel-family-2019-archgate-reserve-bottling-pinot-noir-north-coast,2020-11-01,0.1140,USA
Valle de Inez 2019 Pinot Noir (San Luis Obispo County),Valle de Inez,2019,Pinot Noir,Red,San Luis Obispo County,,93,"This vintage of Doug Margerum's more affordable label is a complex and delicious stunner, beginning with opulent aromas of black cherry, wet loam and light mint on the nose. There's a tight line of stony, loamy minerality on the palate, balancing the wild raspberry, mulberry and black-pepper spice flavors.",M.K.,20,California,valle-de-inez-2019-pinot-noir-san-luis-obispo-county,2020-12-31,0.1400,USA
Tree Fort 2019 Lush &amp; Juicy Pinot Noir (Arroyo Seco),Tree Fort,2019,Pinot Noir,Red,Arroyo Seco,Lush &amp; Juicy,89,"This is a value brand to watch, originating out of August Sebastiani's 3 Badge Beverage Corporation. Aromas of dried berries, dried flowers, sandalwood and roasted plums lead into a palate with chalky tension and flavors of cranberry, hibiscus, wild mint and more floral touches. It's mellow and tightly woven, which is uncommon at this price point.",M.K.,17,California,tree-fort-2019-lush-juicy-pinot-noir-arroyo-seco,2020-12-31,0.1450,USA
Tree Fort 2019 Cabernet Sauvignon (Paso Robles),Tree Fort,2019,Cabernet Sauvignon,Red,Paso Robles,,92,"This is a fairly amazing wine for the price, competing with bottlings that are four times the cost. Deep and dark aromas of black cherry, caramel, cocoa, espresso bean and oregano lead into a grippy palate, where pinpoint, sandy tannins frame dense flavors of black currant and coffee grinds.",M.K.,17,California,tree-fort-2019-cabernet-sauvignon-paso-robles,2020-12-01,0.1450,USA
Three Thieves 2019 Pinot Noir (California),Three Thieves,2019,Pinot Noir,Red,California,,89,"This firm-textured and lightly tannic wine is a great value. It offers deep black-cherry and dried plum flavors on a full body. Sweet baking spices and wood smoke in the aroma give way to a tighter, more chewy palate.",J.G.,11,California,three-thieves-2019-pinot-noir-california,2020-10-01,0.1350,USA
The Pinot Project 2019 Pinot Noir (California),The Pinot Project,2019,Pinot Noir,Red,California,,91,"Pure and expressive, this wine is more than just fruity, adding enticing black-tea and forest-floor notes to its tasty cherry and rhubarb core. Medium to full bodied, it offers fine-grained tannins to firm up the texture. This is the third excellent vintage in a row for this remarkable value wine.",J.G.,15,California,the-pinot-project-2019-pinot-noir-california,2020-11-01,0.1350,USA
Thacher 2019 Nouveau Shell Creek Vineyards Valdiguié (Paso Robles),Thacher,2019,Valdiguié,Red,Paso Robles,Nouveau Shell Creek Vineyards,91,"This nouveau-style Valdiguié is as unique as wine comes these days, starting with crisp aromas of raspberry, strawberry, dark melon and wild herbs. The vibrant palate, which is great chilled, is framed with an edgy texture, delivering boysenberry-jam and black-raspberry flavors.",M.K.,28,California,thacher-2019-nouveau-shell-creek-vineyards-valdiguie-paso-robles,2020-10-01,0.1020,USA
