name,brand,company,vintage,drink_type,wine_type,varietal_label,alcohol,bottle_size,case_production,country,state,appellation,designation,retail,rating,reviewer,review,date_of_review,date_received,pub_date_web,slug
ZD 2017 Founder's Reserve Pinot Noir (Carneros),ZD,ZD Wines,2017,wine,Red,Pinot Noir,0.1420,750 ml,600,USA,California,Carneros,Founder's Reserve,90,91,V.B.,"A fruity, inviting nose of dark cherry and baking spice lead the way to a complex, textured and richly layered midpalate of integrated intensity and dried herb in this reserve-worthy wine. Robust and hearty on the palate it retains a welcome freshness and lasting note of sweet oak.",2019-11-01,2019-07-25,2020-03-01,zd-2017-founders-reserve-pinot-noir-carneros
Zaca Mesa 2017 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Zaca Mesa,Zaca Mesa Winery,2017,wine,Red,Pinot Noir,0.1410,750 ml,501,USA,California,Santa Maria Valley,Bien Nacido Vineyard,48,93,M.K.,"Broad black-cherry and macerated strawberry aromas meet with plenty of clove and cardamom on the soft, lush nose of this bottling. The palate offers a broad range of flavors from Montmorency cherry to white pepper, eucalyptus and bay leaf.",2019-10-01,2019-10-11,2020-09-01,zaca-mesa-2017-bien-nacido-vineyard-pinot-noir-santa-maria-valley
YNOT 2017 Pinot Noir (Santa Barbara County),YNOT,Flying Goat Cellars,2017,wine,Red,Pinot Noir,0.1423,750 ml,176,USA,California,Santa Barbara County,,28,92,M.K.,"Mulberry, macerated wild cherry, cherry pit and dusty garam masala spices show on the nose of this bottling, Norm Yost's affordable appellation blend. There's a black-plum tang to the sip, where cardamom and curry spices decorate the roasted tomato and black-cherry flavors.",2020-05-02,2020-05-22,2020-10-01,ynot-2017-pinot-noir-santa-barbara-county
Writer's Block 2017 Pinot Noir (Lake County),Writer's Block,Steele Wines,2017,wine,Red,Pinot Noir,0.1350,750 ml,1050,USA,California,Lake County,,18,88,J.G.,"A good choice in a pleasant, well-mannered wine, this bottle offers just-ripe black-cherry and cinnamon flavors, medium body and a smooth texture.",2020-01-03,2019-12-14,2020-05-01,writers-block-2017-pinot-noir-lake-county
Work Vineyard 2017 Zina's Pinot Noir (Russian River Valley),Work Vineyard,Work Vineyard,2017,wine,Red,Pinot Noir,0.1470,750 ml,150,USA,California,Russian River Valley,Zina's,55,88,V.B.,"This hearty, thick wine shows the warmth of the vintage, thick in cinnamon cola and waves of full-bodied blueberry lushness.",2020-07-21,2020-07-27,2020-12-01,work-vineyard-2017-zinas-pinot-noir-russian-river-valley
Windrun 2017 No. 15 Pinot Noir (Sta. Rita Hills),Windrun,Windrun Wines,2017,wine,Red,Pinot Noir,0.1410,750 ml,350,USA,California,Sta. Rita Hills,No. 15,33,92,M.K.,"Beautifully candied dark-cherry aromas meet with vanilla, nutmeg and cardamom on the lush, inviting nose of this bottling. The sip snaps with strong raspberry and rose-petals flavors that ride a very fresh acidity into a lively finish.",2020-01-18,2020-01-24,2020-05-01,windrun-2017-no-15-pinot-noir-sta-rita-hills
Windchaser 2017 Pinot Noir (Anderson Valley),Windchaser,Windchaser Wine Co.,2017,wine,Red,Pinot Noir,0.1330,750 ml,300,USA,California,Anderson Valley,,35,91,J.G.,"Nicely ripe and well balanced at the same time, this full-bodied wine is scented with cherries and baking spices. Fermented with native yeast, it brings a good grip of tannins and acidity to the palate.",2020-03-25,2020-03-14,2020-08-01,windchaser-2017-pinot-noir-anderson-valley
Willowbrook 2017 Kaufman Sunnyslope Vineyard Clone 777 Pinot Noir (Sonoma Mountain),Willowbrook,Willowbrook Cellars,2017,wine,Red,Pinot Noir,0.1430,750 ml,480,USA,California,Sonoma Mountain,Kaufman Sunnyslope Vineyard Clone 777,28,91,V.B.,"Flavors of black tea, strawberry and black cherry ride along a smooth, velvety palate. While well-structured, it also retains plenty of lift and delicacy throughout.",2020-04-02,2019-12-12,2020-09-01,willowbrook-2017-kaufman-sunnyslope-vineyard-clone-777-pinot-noir-sonoma-mountain
Wildeye 2017 Pinot Noir (Santa Lucia Highlands),Wildeye,Wildeye Winery,2017,wine,Red,Pinot Noir,0.1470,750 ml,340,USA,California,Santa Lucia Highlands,,35,88,M.K.,"Dark red plum, minty eucalyptus, wet gravel and tar aromas show on the nose of this blend of the Pommard and 777 clones. Concentrated cherry and berry flavors show on the sip, enhanced by wild thyme and zesty acidity.",2019-12-14,2019-12-17,2020-05-01,wildeye-2017-pinot-noir-santa-lucia-highlands
Westwood 2017 Pinot Noir (Sonoma County),Westwood,Westwood,2017,wine,Red,Pinot Noir,0.1390,750 ml,1600,USA,California,Sonoma County,,48,90,V.B.,"This is a bold, hugely concentrated wine, jammy in up-front notions of black cherry and baked strawberry. With firm silky tannins that add weight and structure, it shows its oak, letting it settle to reveal appealing accents of dried herb and Asian spice.",2019-09-21,2019-09-26,2020-09-01,westwood-2017-pinot-noir-sonoma-county
Westerhold 2017 Estate Vineyard Pinot Noir (Sonoma Coast),Westerhold,Westerhold Wines,2017,wine,Red,Pinot Noir,0.1530,750 ml,260,USA,California,Sonoma Coast,Estate Vineyard,42,91,V.B.,"This wine is made by Russell Bevan, who sources from the proprietor's hillside vineyard between several mountain peaks, benefiting from coastal air and morning fog. Thick, spicy and herbal, it is possessed of substantial oak and ripe rich flavors of baked cherry, strawberry and forest floor.",2020-03-10,2020-03-22,2020-08-01,westerhold-2017-estate-vineyard-pinot-noir-sonoma-coast
Walt 2017 Brown Ranch Pinot Noir (Carneros),Walt,Walt Wines,2017,wine,Red,Pinot Noir,0.1490,750 ml,0,USA,California,Carneros,Brown Ranch,75,89,V.B.,"Soft, supple and thick in cola and brown sugar, this is a deeply concentrated ripe red wine, with dense layers of black cherry. Baking-spice and dark-chocolate notes dot the finish.",2020-01-19,2020-01-22,2020-05-01,walt-2017-brown-ranch-pinot-noir-carneros
